file,age,gender,race,service_test,looks
good_train/1.jpg,30-39,female,White,,1
good_train/2.jpg,30-39,female,White,,1
good_train/3.jpg,30-39,female,White,,1
good_train/4.jpg,30-39,female,White,,1
good_train/5.jpg,30-39,female,White,,1
good_train/6.jpg,30-39,female,White,,1
good_train/7.jpg,30-39,female,White,,1
good_train/8.jpg,30-39,female,White,,1
good_train/9.jpg,30-39,female,White,,1
good_train/10.jpg,30-39,female,White,,1
good_train/11.jpg,30-39,female,White,,1
good_train/12.jpg,30-39,female,White,,1
good_train/13.jpg,30-39,female,White,,1
good_train/14.jpg,30-39,female,White,,1
good_train/15.jpg,30-39,female,White,,1
good_train/16.jpg,30-39,female,White,,1
good_train/17.jpg,30-39,female,White,,1
good_train/18.jpg,30-39,female,White,,1
good_train/19.jpg,30-39,female,White,,1
good_train/20.jpg,30-39,female,White,,1
good_train/21.jpg,30-39,female,White,,1
good_train/22.jpg,30-39,female,White,,1
good_train/23.jpg,30-39,female,White,,1
good_train/24.jpg,30-39,female,White,,1
good_train/25.jpg,30-39,female,White,,1
good_train/26.jpg,30-39,female,White,,1
good_train/27.jpg,30-39,female,White,,1
good_train/28.jpg,30-39,female,White,,1
good_train/29.jpg,30-39,female,White,,1
good_train/30.jpg,30-39,female,White,,1
good_train/31.jpg,30-39,female,White,,1
good_train/32.jpg,30-39,female,White,,1
good_train/33.jpg,30-39,female,White,,1
good_train/34.jpg,30-39,female,White,,1
good_train/35.jpg,30-39,female,White,,1
good_train/36.jpg,30-39,female,White,,1
good_train/37.jpg,30-39,female,White,,1
good_train/38.jpg,30-39,female,White,,1
good_train/39.jpg,30-39,female,White,,1
good_train/40.jpg,30-39,female,White,,1
good_train/41.jpg,30-39,female,White,,1
good_train/42.jpg,30-39,female,White,,1
good_train/43.jpg,30-39,female,White,,1
good_train/44.jpg,30-39,female,White,,1
good_train/45.jpg,30-39,female,White,,1
good_train/46.jpg,30-39,female,White,,1
good_train/47.jpg,30-39,female,White,,1
good_train/48.jpg,30-39,female,White,,1
good_train/49.jpg,30-39,female,White,,1
good_train/50.jpg,30-39,female,White,,1
good_train/51.jpg,30-39,female,White,,1
good_train/52.jpg,30-39,female,White,,1
good_train/53.jpg,30-39,female,White,,1
good_train/54.jpg,30-39,female,White,,1
good_train/55.jpg,30-39,female,White,,1
good_train/56.jpg,30-39,female,White,,1
good_train/57.jpg,30-39,female,White,,1
good_train/58.jpg,30-39,female,White,,1
good_train/59.jpg,30-39,female,White,,1
good_train/60.jpg,30-39,female,White,,1
good_train/61.jpg,30-39,female,White,,1
good_train/62.jpg,30-39,female,White,,1
good_train/63.jpg,30-39,female,White,,1
good_train/64.jpg,30-39,female,White,,1
good_train/65.jpg,30-39,female,White,,1
good_train/66.jpg,30-39,female,White,,1
good_train/67.jpg,30-39,female,White,,1
good_train/68.jpg,30-39,female,White,,1
good_train/69.jpg,30-39,female,White,,1
good_train/70.jpg,30-39,female,White,,1
good_train/71.jpg,30-39,female,White,,1
good_train/72.jpg,30-39,female,White,,1
good_train/73.jpg,30-39,female,White,,1
good_train/74.jpg,30-39,female,White,,1
good_train/75.jpg,30-39,female,White,,1
good_train/76.jpg,30-39,female,White,,1
good_train/77.jpg,30-39,female,White,,1
good_train/78.jpg,30-39,female,White,,1
good_train/79.jpg,30-39,female,White,,1
good_train/80.jpg,30-39,female,White,,1
good_train/81.jpg,30-39,female,White,,1
good_train/82.jpg,30-39,female,White,,1
good_train/83.jpg,30-39,female,White,,1
good_train/84.jpg,30-39,female,White,,1
good_train/85.jpg,30-39,female,White,,1
good_train/86.jpg,30-39,female,White,,1
good_train/87.jpg,30-39,female,White,,1
good_train/88.jpg,30-39,female,White,,1
good_train/89.jpg,30-39,female,White,,1
good_train/90.jpg,30-39,female,White,,1
good_train/91.jpg,30-39,female,White,,1
good_train/92.jpg,30-39,female,White,,1
good_train/93.jpg,30-39,female,White,,1
good_train/94.jpg,30-39,female,White,,1
good_train/95.jpg,30-39,female,White,,1
good_train/96.jpg,30-39,female,White,,1
good_train/97.jpg,30-39,female,White,,1
good_train/98.jpg,30-39,female,White,,1
good_train/99.jpg,30-39,female,White,,1
good_train/100.jpg,30-39,female,White,,1
good_train/101.jpg,30-39,female,White,,1
good_train/102.jpg,30-39,female,White,,1
good_train/103.jpg,30-39,female,White,,1
good_train/104.jpg,30-39,female,White,,1
good_train/105.jpg,30-39,female,White,,1
good_train/106.jpg,30-39,female,White,,1
good_train/107.jpg,30-39,female,White,,1
good_train/108.jpg,30-39,female,White,,1
good_train/109.jpg,30-39,female,White,,1
good_train/110.jpg,30-39,female,White,,1
good_train/111.jpg,30-39,female,White,,1
good_train/112.jpg,30-39,female,White,,1
good_train/113.jpg,30-39,female,White,,1
good_train/114.jpg,30-39,female,White,,1
good_train/115.jpg,30-39,female,White,,1
good_train/116.jpg,30-39,female,White,,1
good_train/117.jpg,30-39,female,White,,1
good_train/118.jpg,30-39,female,White,,1
good_train/119.jpg,30-39,female,White,,1
good_train/120.jpg,30-39,female,White,,1
good_train/121.jpg,30-39,female,White,,1
good_train/122.jpg,30-39,female,White,,1
good_train/123.jpg,30-39,female,White,,1
good_train/124.jpg,30-39,female,White,,1
good_train/125.jpg,30-39,female,White,,1
good_train/126.jpg,30-39,female,White,,1
good_train/127.jpg,30-39,female,White,,1
good_train/128.jpg,30-39,female,White,,1
good_train/129.jpg,30-39,female,White,,1
good_train/130.jpg,30-39,female,White,,1
good_train/131.jpg,30-39,female,White,,1
good_train/132.jpg,30-39,female,White,,1
good_train/133.jpg,30-39,female,White,,1
good_train/134.jpg,30-39,female,White,,1
good_train/135.jpg,30-39,female,White,,1
good_train/136.jpg,30-39,female,White,,1
good_train/137.jpg,30-39,female,White,,1
good_train/138.jpg,30-39,female,White,,1
